codigo,Departamento,Municipio,Semaforo,Prioridad
1,ALTA VERAPAZ,CHAHAL,verde,3
2,ALTA VERAPAZ,CHISEC,rojo,1
3,ALTA VERAPAZ,COBÁN,amarillo,2
4,ALTA VERAPAZ,FRAY BARTOLOMÉ DE LAS CASAS,amarillo,2
5,ALTA VERAPAZ,SAN AGUSTÍN LANQUÍN,amarillo,2
6,ALTA VERAPAZ,PANZÓS,amarillo,2
7,ALTA VERAPAZ,RAXRUHA,rojo,1
8,ALTA VERAPAZ,SAN CRISTÓBAL VERAPAZ,verde,3
9,ALTA VERAPAZ,SAN JUAN CHAMELCO,amarillo,2
10,ALTA VERAPAZ,SAN PEDRO CARCHÁ,amarillo,2
11,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,amarillo,2
12,ALTA VERAPAZ,SANTA MARÍA CAHABÓN,rojo,1
13,ALTA VERAPAZ,SENAHÚ,rojo,1
14,ALTA VERAPAZ,TACTIC,amarillo,2
15,ALTA VERAPAZ,TAMAHÚ,verde,3
16,ALTA VERAPAZ,TUCURÚ,rojo,1
17,ALTA VERAPAZ,SANTA CATALINA LA TINTA,amarillo,2
18,BAJA VERAPAZ,CUBULCO,amarillo,2
19,BAJA VERAPAZ,GRANADOS,verde,3
20,BAJA VERAPAZ,PURULHÁ,verde,3
21,BAJA VERAPAZ,RABINAL,amarillo,2
22,BAJA VERAPAZ,SALAMÁ,amarillo,2
23,BAJA VERAPAZ,SAN JERÓNIMO,amarillo,2
24,BAJA VERAPAZ,SAN MIGUEL CHICAJ,amarillo,2
25,BAJA VERAPAZ,SANTA CRUZ EL CHOL,verde,3
26,CHIMALTENANGO,ACATENANGO,rojo,1
27,CHIMALTENANGO,CHIMALTENANGO,rojo,1
28,CHIMALTENANGO,EL TEJAR,rojo,1
29,CHIMALTENANGO,PARRAMOS,verde,3
30,CHIMALTENANGO,PATZICÍA,rojo,1
31,CHIMALTENANGO,PATZÚN,verde,3
32,CHIMALTENANGO,POCHUTA,amarillo,2
33,CHIMALTENANGO,SAN ANDRÉS ITZAPA,amarillo,2
34,CHIMALTENANGO,SAN JOSÉ POAQUIL,rojo,1
35,CHIMALTENANGO,SAN JUAN COMALAPA,rojo,1
36,CHIMALTENANGO,SAN MARTÍN JILOTEPEQUE,amarillo,2
37,CHIMALTENANGO,SANTA APOLONIA,verde,3
38,CHIMALTENANGO,SANTA CRUZ BALANYÁ,amarillo,2
39,CHIMALTENANGO,TECPÁN GUATEMALA,verde,3
40,CHIMALTENANGO,YEPOCAPA,amarillo,2
41,CHIMALTENANGO,ZARAGOZA,verde,3
42,CHIQUIMULA,CAMOTÁN,amarillo,2
43,CHIQUIMULA,CHIQUIMULA,rojo,1
44,CHIQUIMULA,CONCEPCIÓN LAS MINAS,amarillo,2
45,CHIQUIMULA,ESQUIPULAS,rojo,1
